Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s)
11/06/2017;0;1015,1;17,3;26;21,1;18,6;79,5;62;6,4;1,8
12/06/2017;0;1014,8;19,9;28,6;22,7;18,1;85;65;10;2,8
13/06/2017;0;1015,1;20,3;28,9;23,4;18,6;84;56;11;2,9
14/06/2017;0;1015,8;20,2;28,7;23,3;19;83,6;59;9,9;3,1
15/06/2017;22;1017,9;18,4;25,2;22,1;19,6;79,7;65;12,3;3,6
16/06/2017;0,2;1017,4;18,5;26,6;21,6;18,5;83,5;64;7,4;2,3
17/06/2017;0;1015,6;18,7;26,7;21,3;17,5;86;64;6,9;2,1
18/06/2017;0;1014,2;18,5;28,1;22;17,5;82,3;51;9,1;2,5
19/06/2017;0;1013,5;17,8;29,6;22,1;16,7;79,2;41;7,6;2,6
20/06/2017;0;1015,4;17,5;27,6;20,9;16,2;82,3;44;5,5;1,5
21/06/2017;7,4;1018,4;18,2;23,7;19,9;17,4;90;73;9,7;2,3
22/06/2017;11,2;1019,1;19;26,4;21,4;18,3;87;64;7,8;2,2
23/06/2017;7,2;1019,2;18,9;25,7;21;17,3;88,2;69;7;1,7
24/06/2017;11,6;1020;17,9;26,8;21,3;18,2;82,2;53;8,9;2,1
25/06/2017;4,6;1019,8;17,9;25;20,8;18;84,2;65;9,6;3,3
26/06/2017;10,4;1019,3;18;25,8;21,6;19,1;81,8;59;8,1;2,2
27/06/2017;4;1018,9;18,8;20,7;19,7;18,4;94,9;87;6,8;2,1
28/06/2017;27,4;1019,7;18,6;26,8;21,3;17,7;85,6;58;5,1;1,6
29/06/2017;0;1018,5;17,9;26,5;21;17,8;83,3;59;6,8;1,8
30/06/2017;0;1017,3;18;27,4;21,5;17,4;81,9;52;6,4;2,1
01/07/2017;0;1016,6;17;27;20,8;14,9;80,5;55;7,5;2,2
02/07/2017;8,2;1020,1;16,5;22,8;20;17,5;81,2;61;15,4;4,6
03/07/2017;6,6;1024,8;14,1;20,1;17,1;15,7;83,3;59;12,7;3,4
04/07/2017;6;1025,7;14,4;23,7;17,8;14,6;81,4;52;8,7;2,1
05/07/2017;4,6;1024,1;16;25,3;19,1;15,6;84,3;49;8,5;2
06/07/2017;10,4;1022,1;17,2;24,7;19,6;16,6;86,8;65;6,8;2,5
07/07/2017;6,8;1022,1;17,4;24,9;20;17;85,9;59;8,6;2,5
08/07/2017;6;1022,5;17,7;25,7;20;17,3;87,5;60;8,3;1,7
09/07/2017;5,6;1022,2;18,2;24,1;19,2;17;93,7;78;9,3;2
10/07/2017;16,6;1021,2;17,8;26;20,7;16,8;85,2;53;7,5;2
11/07/2017;17,6;1020,6;18,8;24,2;20,5;18,7;90,4;71;6,4;1,9
12/07/2017;0,2;1020,6;17,7;26,4;20,8;16,9;83,4;58;5,6;1,8
13/07/2017;9,8;1021,2;18;25,1;20,4;17,7;87,4;65;6;1,3
14/07/2017;11,2;1021;17,2;24,9;19,4;17,1;88,2;59;6,6;1,9
15/07/2017;10,6;1020,1;16,8;25,2;19,9;16,3;83,3;60;9,9;2,5
16/07/2017;1;1019,5;18;23;19,2;16,8;93;79;2,8;null
17/07/2017;3,8;1018,3;18,1;25,9;21,1;18;84,5;60;null;null
18/07/2017;0;1016,7;17,2;26,7;20,7;15,6;82;44;null;null
19/07/2017;36,4;1019,1;16,2;23,4;19,7;18;80,7;65;null;null
20/07/2017;1,6;1019,5;16,7;25,5;20,1;17,9;81,5;59;null;null
21/07/2017;0;1018;16,8;25,6;19,8;15,4;83,8;60;null;null
22/07/2017;0;1017,1;17,6;26,9;20,5;14,4;85;59;null;null
23/07/2017;0,2;1020,7;17,3;25,1;19,7;15,7;87;64;null;null
24/07/2017;9,6;1022,9;18,3;25,1;20,2;16,9;89,7;71;null;null
25/07/2017;4,2;1022,8;18,4;24,9;20,3;17,5;89;67;null;null
26/07/2017;0,2;1021,5;16,5;26,3;20,4;16,5;81,3;43;null;null
27/07/2017;0,6;1020,8;16,7;25,8;20,2;16,6;81,4;62;null;null
28/07/2017;0;1022,3;16,2;25,6;20,5;16,4;77,6;53;null;null
29/07/2017;17,8;1024,4;17,3;23,4;19,3;17,8;89;62;null;null
30/07/2017;4,6;1024,1;16,6;22,8;18,3;15,9;90,3;74;null;null
31/07/2017;6,8;1020,9;16,4;23,6;18,4;16;88,4;63;null;null
01/08/2017;0,2;1018,1;15,7;25,2;19,3;15,1;80,5;54;null;null
02/08/2017;0;1017,6;17,3;26,3;20,9;16,2;81,1;53;null;null
03/08/2017;0;1014,4;18,2;25,4;21,7;19,4;81,1;68;null;null
04/08/2017;0;1012,6;17,8;25,5;21,8;18,6;78,7;62;null;null
05/08/2017;0;1016,3;15,1;24,5;21,3;18,3;68;56;null;null
06/08/2017;0;1018,5;13,9;22,6;19,3;16,7;71,8;48;null;null
07/08/2017;0;1018,6;14,4;23,9;18,2;13,5;79,7;59;null;null
08/08/2017;0;1015,8;13,7;26,6;18,8;13,2;75,1;37;null;null
09/08/2017;0;1011,2;16,5;29,1;21,5;16;74,8;47;null;null
10/08/2017;0;1012,2;16,8;25,9;21,3;15,7;76,3;55;null;null
11/08/2017;0;1016;16,4;23;20,3;19,7;79;59;null;null
12/08/2017;1,4;1017,5;15,9;24;19,6;17;80,3;58;null;null
13/08/2017;0;1016,4;15,8;24,2;20,1;17,4;77;58;null;null
14/08/2017;0;1013,7;16;26,1;20,8;16;74,5;53;null;null
15/08/2017;0;1014,7;15,9;25,4;20,2;16,1;77,6;52;null;null
16/08/2017;0;1014,6;15,5;26;20,4;15,1;75,2;49;null;null
17/08/2017;0;1013,5;15,8;26,9;20,4;14,4;76,4;51;null;null
18/08/2017;0;1013,9;18,5;26,1;22;19,6;80,8;65;null;null
19/08/2017;0;1014,2;18,4;25,8;21,9;19,5;81,6;57;null;null
20/08/2017;0;1012,3;18;28,7;22,6;17,9;76,5;49;null;null
21/08/2017;0;null;null;22,4;null;18,4;89,5;78;null;null
22/08/2017;null;1022,7;16,2;21,6;18,6;17,2;86,4;68;null;null
23/08/2017;4,8;1021,4;16,2;23,1;18,5;16,3;86,8;63;null;null
24/08/2017;2;1020,4;15,3;23,4;18,8;17,1;82;53;null;null
25/08/2017;0,4;1019,8;15,6;24,9;19,2;15,1;81,1;49;null;null
26/08/2017;3;1018,5;16,4;23,3;19;16,9;85,5;57;null;null
27/08/2017;0,2;1016,1;15,7;24,2;19,8;17,1;78,4;52;null;null
28/08/2017;0;1015,7;15,4;26,1;19,4;13,7;79,1;54;null;null
29/08/2017;0;1016;16,7;26,2;20,3;14,8;81;59;null;null
30/08/2017;0;1014,2;17,3;28,2;21,5;16;78,9;49;null;null
31/08/2017;0;1014,4;18;29,4;22,4;18,1;76,6;49;null;null
01/09/2017;0;1020,8;17,2;23,1;21,1;19,2;78,2;69;null;null
02/09/2017;0,2;1023,9;14,9;24,8;20;17,1;73;51;null;null
03/09/2017;2,8;1023,6;15,5;24,1;19,1;16;80,7;54;null;null
04/09/2017;null;1021,6;16,2;24,6;null;15,8;85;55;null;null
05/09/2017;0,4;1018,9;16,1;26,2;20,1;15,1;79,4;51;null;null
06/09/2017;0;1016,8;17,4;27,4;null;16,5;79,8;47;null;null
07/09/2017;null;1017,1;16,9;27;null;15,6;82,1;50;null;null
08/09/2017;0,8;1016,3;17,1;25,5;20,2;16,3;83,2;61;null;null
09/09/2017;0,6;1017,1;18,3;26,3;20;16,9;90,3;64;null;null
10/09/2017;9,2;1017,8;19;23,5;21,2;18,6;87,4;77;null;null
11/09/2017;1,8;1019;16,9;26,8;21,1;16,8;79;48;null;null
12/09/2017;2;1019,2;17,5;26,1;20,3;16,2;84,5;62;null;null
13/09/2017;0;1019,6;17,7;25,5;20,6;16,4;84,1;66;null;null
14/09/2017;0,2;1019,3;18,1;26,2;21,7;17,9;80,8;62;null;null
15/09/2017;0,2;1018,4;17,7;27,2;22;17,3;77,6;50;null;null
16/09/2017;0;1019;18,1;25,7;21,7;19;80,7;54;null;null
17/09/2017;1,2;1018,3;18,3;26;21,4;17,9;83,4;64;null;null
18/09/2017;0;1018,7;18,1;27,1;21,7;17,6;81,4;57;null;null
19/09/2017;0,8;1019,3;18,5;25,3;21,2;19,1;84,8;62;null;null
20/09/2017;7,4;1019,6;18;24,5;20,7;17,5;85,5;64;null;null
21/09/2017;0,8;1019,5;17,4;27,3;21,4;16,7;79,8;46;null;null
22/09/2017;0;1018,2;17,3;26,7;21,6;17,4;78,4;51;null;null
23/09/2017;0;1017;17,5;26,9;22;16,6;76,6;55;null;null
24/09/2017;0;1016,1;17,6;27;22,1;17,6;76,8;54;null;null
25/09/2017;0,4;1018,1;18,3;23,9;20,5;17,5;87,7;72;null;null
26/09/2017;4;1016,7;17,4;25,7;20,3;16,8;84,3;57;null;null
27/09/2017;0;1014;18,2;27,3;21,6;16,9;82;55;null;null
28/09/2017;0;1012;19,9;31,9;24,2;20,6;77,8;49;null;null
29/09/2017;0;1013,9;19;28,1;23,1;20,9;78,7;54;null;null
30/09/2017;0;1010;19,9;29,3;23,4;19,8;81,9;51;null;null
01/10/2017;3,6;1006,9;19,7;28,8;23,7;20,9;79;58;null;null
02/10/2017;0,2;1007;19,6;31,8;25,2;21,2;72,5;49;null;null
03/10/2017;0;1010,4;19,8;30,9;25,3;22,6;72,5;46;null;null
04/10/2017;22,8;1015,4;19,8;24,1;21,1;20,4;92,5;83;9,3;null
05/10/2017;5;1016,2;19,5;26,7;22,1;19,9;85,6;67;9,2;2
06/10/2017;0,2;1016,3;19,1;28,3;22,5;18,1;82,4;56;13,8;3,7
07/10/2017;0;1014,2;19,2;27,7;23,5;19,8;77,5;58;13,7;5
08/10/2017;0;1014,3;19,4;27,8;23,3;20;79,2;59;12,9;4,1
09/10/2017;0;1013;19;27,6;23,5;20,5;76,7;58;14,1;5,2
10/10/2017;0;1011,9;18,5;29,3;23,6;19,9;74,1;48;16,3;5,7
11/10/2017;0;1011,3;19,2;29,4;24;20,1;75,6;46;15,4;5,9
12/10/2017;0;1011;20;31;24,7;20,6;76,1;46;15,5;5,6
13/10/2017;0;1011,3;19,4;29,6;24,5;22,1;73,7;52;15,7;5,8
14/10/2017;0;1009,1;19,6;31,7;24,9;20,2;73,5;46;13,9;5,5
15/10/2017;0;1012;20;30,1;25,1;22,3;74,3;50;14,8;4,7
16/10/2017;0,6;1016,9;20,2;23;21,1;20;94,5;83;12,5;4
17/10/2017;18,6;1018,5;20;26,6;22,3;20,4;87,3;65;8,2;2,4
18/10/2017;2,4;1017,6;18,7;27,3;22,2;18,2;81,6;55;10,7;3,1
19/10/2017;0;1014,1;18,7;27,9;22,6;17,1;79,7;52;16,8;4,5
20/10/2017;0;1010,6;20,1;31,7;25,2;20,7;74,4;49;14,1;5,7
21/10/2017;0;1011,8;20,7;31,3;25,4;20,1;76,4;48;13,6;5
22/10/2017;0;1010,5;20,6;32,2;25,9;22;73,8;46;14,5;5,6
23/10/2017;0;1012,7;21;29,9;24,7;22,3;81;58;8,8;2,1
24/10/2017;0;1014,5;20,7;25,5;22,7;21,5;88,6;76;6,9;1,6
25/10/2017;0;1014,1;19,6;28,6;23,3;18,8;81,3;58;11,4;2,9
26/10/2017;0;1011,3;18,9;28,7;24,4;20,7;72,3;51;15;5,2
27/10/2017;0;1007,8;20,3;31,5;25,3;21,3;75;49;15;5,4
28/10/2017;0,6;1006,1;21,7;29,3;25,5;23,5;79,7;66;9,6;4
29/10/2017;0;1006,1;21,6;33,6;26,6;23,1;75,5;48;9,5;3,4
30/10/2017;0;1006,8;21,7;29,1;25,2;23;81,5;66;9;2,8
31/10/2017;0;1004;20,7;33,8;26,1;24,3;73,8;48;13,5;5,7
01/11/2017;8;1011,4;19,5;23,4;22;21,6;85,8;77;11,9;4,4
02/11/2017;1,2;1016,3;17,1;25,1;22,1;19,9;73,5;57;10;2,9
03/11/2017;0,2;1014,8;18,3;25;21,3;17,2;83,2;68;9,3;2,5
04/11/2017;0,2;1011;20,6;29,2;24;20,4;82,1;62;14,2;5
05/11/2017;0,2;1008,2;20,6;32,8;25,6;22,7;75,3;48;13,4;5,2
06/11/2017;4,4;1010,6;20,3;25,1;22,8;22,4;85,7;77;11,1;3,7
07/11/2017;0,2;1012,2;17,3;24,2;21,8;20,4;76;65;10,5;3,6
08/11/2017;4,6;1012,6;17,9;24,1;20,5;17,7;85,8;65;6,9;1,9
09/11/2017;5,2;1012,1;18,2;22,4;20,1;19,3;89,5;65;6;2
10/11/2017;4,6;1008,5;20,6;27,4;22,8;18,8;88,1;73;10,7;2,4
11/11/2017;2,2;1003,5;21,5;24,1;23,3;22,2;89,9;82;9,7;3,5
12/11/2017;12;1003,4;19,9;25,1;21,9;20,4;88,5;74;6,4;1,4
13/11/2017;0,4;1006,6;18,2;29,5;23,2;19,2;76,1;34;12,9;2,8
14/11/2017;0;1011,5;17,3;28,1;22,6;18,1;73,8;42;7,6;2,1
15/11/2017;0;1012,7;19,8;27,9;23,3;19,4;81,5;64;12;2,6
16/11/2017;0;1011,1;20,2;30,5;24,3;20,6;78,9;58;12,7;4,5
17/11/2017;0;1008;19,8;32,2;25,8;21,9;71,3;46;14,4;6,2
18/11/2017;0;1006,6;20,1;30,9;25,4;20,9;73,3;49;14,6;6
19/11/2017;0;1005,2;20,4;33,6;26,1;22,1;71,8;49;14,4;5,7
20/11/2017;0;1007,2;21,9;30,2;25,3;23,2;82,1;64;12,4;4
21/11/2017;21,6;1007,7;22,3;31,3;25,7;22,8;82,6;56;12;4,2
22/11/2017;0;1005,1;21,2;32,8;27;24,2;71,7;50;12,9;5,6
23/11/2017;0,4;1010;19,9;25,9;22,5;21,9;85,1;77;12,3;4,2
24/11/2017;9,6;1013,1;19,2;24,5;21,1;17,7;89,4;76;5,8;1,2
25/11/2017;0,2;1012,5;21,1;30,4;24,2;20,2;84;58;13,4;3,3
26/11/2017;0;1010,3;20;30,3;25;20,8;75,5;43;13,1;5,1
27/11/2017;0;1009,6;20,6;32,3;null;22,1;73,3;49;13,7;5,5
28/11/2017;0;1010;21,4;31,6;25;23,7;81,7;53;8;2,9
29/11/2017;110,4;1009,9;21,3;25,6;22,8;21,3;91,6;76;10,4;2,7
30/11/2017;1,4;1008,6;20,6;26,4;22,5;20,5;89,6;71;6,1;1,9
01/12/2017;28,6;1007,3;21,1;23,6;21,7;20,7;96,3;91;7,4;1,3
02/12/2017;69;1007,8;21,2;25,8;22,2;20,1;94,2;79;8,6;2
03/12/2017;15,8;1007,2;21,6;28,8;23,9;20,9;87,5;67;5,5;1,4
04/12/2017;7,6;1005,8;22,9;29,1;24,5;21,5;91;76;7,3;2
05/12/2017;0;1007,5;23,4;28;25,1;24,3;90,5;77;9,9;3,1
06/12/2017;1,2;1010,4;20,1;26,8;23,2;21,3;83;64;9;3
07/12/2017;0,2;1008,2;20;28,4;23,5;20,1;82;61;7,1;2,2
08/12/2017;0;1003,4;21,9;27;23,8;22,1;89,2;75;9,5;3,1
09/12/2017;42,2;1002,2;21,1;28,7;24,4;21;83,2;60;12,6;3,3
10/12/2017;0;1001;21,1;30,7;24,7;20,2;81,5;57;7,6;1,9
11/12/2017;0,2;1001,9;23,1;29,5;24,9;21,6;90,2;72;6,4;1,7
12/12/2017;0;1008,5;21,7;26;24,4;23,3;85,2;68;12,6;3,9
13/12/2017;2,4;1013,7;19,5;27,3;23,9;21,9;76,6;65;9,1;2,1
14/12/2017;2,2;1013,6;20,5;25,1;22,2;20,8;90;77;5,4;1,6
15/12/2017;4,6;1010,3;21,7;29,4;24,4;20,8;85,8;63;11,1;3,3
16/12/2017;0;1009,4;22,3;30,5;25,7;22,4;82,1;62;13,4;4,4
17/12/2017;0;1011,4;21,6;29,3;25,4;21,4;79,7;59;13,8;4,6
18/12/2017;0;1012,3;20,7;29;25;19,9;77,9;54;13,9;4,6
19/12/2017;0;1013,1;21,2;30,1;25;19,8;80,4;59;10,9;3,4
20/12/2017;0;1011,5;21,5;29,2;25,1;22,5;81,3;60;11,5;3,3
21/12/2017;0;1009,9;21;28,4;24,5;19,6;81,7;64;13,5;4,1
22/12/2017;0,6;1010,1;22,3;30,1;25,9;23,1;81,2;65;13,3;4,6
23/12/2017;0;1009,9;22;30,6;26,2;23;78,2;60;13,9;5
24/12/2017;0;1007,1;21,9;31,1;26,6;22,9;76,2;57;13,2;5,3
25/12/2017;0;1005,6;21,9;33,5;27,2;23,9;73,5;53;12,4;5,3
26/12/2017;0;1008;22,1;31,8;26,9;23,6;75,8;58;11,7;3,6
27/12/2017;0;1008,6;21,9;32,7;26,4;21,2;77,5;48;12,4;3,8
28/12/2017;0;1008;21,8;32;26,5;22,5;76,3;54;9,2;2,7
